product_id,key,value
category_2_product_1,brand,boat
category_2_product_1,category generic name of commodity,wireless bluetooth earbuds
category_2_product_1,product description name,airdopes 161
category_2_product_1,ip rating,ip 5
category_2_product_1,ma imum retail price,2490
category_2_product_1,warranty,1 year from the date of purchase
category_2_product_1,net content,1 unit airdopes 161 1 unit typec 1 unit user manual 1 unit warranty card
category_2_product_1,working time,55 hours per charge up to 11 hrs additional with case
category_2_product_1,driver size,13 mm
category_2_product_1,beast mode,yes
category_2_product_1,bluetooth version,51
category_2_product_1,net quantity,1 unit
category_2_product_1,country of origin,india
category_2_product_1,marketed by,imagine marketing limited
category_2_product_1,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_1,manufactured by,padget electronics pvt ltd plot no 154 c e cluding first floor blocka sector63 noida201301 india
category_2_product_1,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_2,name,boat nirvana ion anc
category_2_product_2,headphone type,tws earbuds
category_2_product_2,category,wireless earbuds
category_2_product_2,ip rating,ip 4
category_2_product_2,driver size,10 mm2
category_2_product_2,ma imum retail price,9990
category_2_product_2,music playtime,up to 120 h
category_2_product_2,frequency,20 hz20 khz
category_2_product_2,battery capacity,600 mah case 70 mah2 earbuds
category_2_product_2,latency with beast mode,60 ms
category_2_product_2,iwp tech,yes
category_2_product_2,charging time,25 hours earbud 1 hourscase
category_2_product_2,transmission range,10 m
category_2_product_2,bluetooth version,v 52
category_2_product_2,net quantity,1 unit
category_2_product_2,charging interface,usb type c
category_2_product_2,country of origin,india
category_2_product_2,marketed by,imagine marketing limited
category_2_product_2,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_2,manufactured by,califoni tech manufacturing pvt ltd b 17 block b sector 85 noida gautam buddha nagar 201301 uttar pradesh india
category_2_product_2,net content,1 unit pair of earbuds 1 unit case 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit catalogue 1 unit faq card
category_2_product_2,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_3,name,boat airdopes 141
category_2_product_3,category,wireless earbuds
category_2_product_3,driver size,8 mm
category_2_product_3,playtime,upto 6 hours per charge and additional 36 hours with case at 60 volume
category_2_product_3,charging interface,usb type c
category_2_product_3,frequency,20 hz20 khz
category_2_product_3,operating range,10 m
category_2_product_3,compatibility,bluetooth v 50
category_2_product_3,net quantity,1 unit
category_2_product_3,country of origin,china
category_2_product_3,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
