product_id,key,value
category_2_product_3,net content,1 unit boat airdopes 141 1 unit usb type c charging cable 1 unit manual 1 unit catalogue 1 unit warranty card
category_2_product_3,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_5,name,boat airdopes 131
category_2_product_5,category,wireless earbuds
category_2_product_5,driver size,13 mm 2 drivers
category_2_product_5,talk timemusic time,3 hours per bud
category_2_product_5,charging interface,usb type c
category_2_product_5,frequency,20 hz20 khz
category_2_product_5,operating range,10 m
category_2_product_5,compatibility,bluetooth v 50
category_2_product_5,net quantity,1 unit
category_2_product_5,country of origin,china
category_2_product_5,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
category_2_product_5,net content,1 unit boat airdopes 131 1 unit usb type c charging cable 1 unit manual 1 unit catalogue 1 unit warranty card
category_2_product_5,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_7,brand,boat
category_2_product_7,category generic name of commodity,power bank
category_2_product_7,product description name,energyshroom pb 400
category_2_product_7,short circuit protection,protected
category_2_product_7,input ports,1 micro usb 1 type c 2 way
category_2_product_7,ma imum retail price,4499
category_2_product_7,warranty,1 year from the date of purchase
category_2_product_7,net content,1 unit powerbank 1 unit type c charging cable 1 unit user manual 1 unit warranty card
category_2_product_7,capacity,20000 mah 37 v 74 wh
category_2_product_7,fully charged by 9 v 20 a adaptor,65 hours
category_2_product_7,fully discharged by 18 w load,about 35 hours
category_2_product_7,net weight,449 grams
category_2_product_7,manufactured by,brandworks technologies pvt ltd vasai east 401208
category_2_product_7,net quantity,1 unit
category_2_product_7,country of origin,india
category_2_product_7,marketed by,imagine marketing limited
category_2_product_7,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_7,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_9,brand,boat
category_2_product_9,category generic name of commodity,wireless bluetooth earbuds
category_2_product_9,product description name,nirvana ion
category_2_product_9,ip rating,ip 4
category_2_product_9,ma imum retail price,7990
category_2_product_9,warranty,1 year from the date of purchase
category_2_product_9,net content,nirvana ion 1 unit typec 1 unit user manual 1 unit warranty card
category_2_product_9,working time,up to 120 hours
category_2_product_9,driver size,10 mm
category_2_product_9,beast mode,yes
category_2_product_9,bluetooth version,52
category_2_product_9,net quantity,1 unit
category_2_product_9,country of origin,china
category_2_product_9,marketed by,imagine marketing limited
category_2_product_9,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_9,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_10,name,boat nirvana ivy pro
category_2_product_10,headphone type,tws earbuds
category_2_product_10,category,wireless earbuds
category_2_product_10,ip rating,ip 5 splash resistance
category_2_product_10,driver size,11 mm 6 mm
category_2_product_10,ma imum retail priceinclusive of all ta es,17990
category_2_product_10,music playtime,up to 50 h
category_2_product_10,frequency,20 hz20 khz
category_2_product_10,battery capacity,400 mah case 43 mah2 earbuds
category_2_product_10,latency with beast mode,50 ms low latency
category_2_product_10,charging time,15 hours case 35 mins earbuds
category_2_product_10,transmission range,10 m
category_2_product_10,bluetooth version,v 53
category_2_product_10,net quantity,1 unit
category_2_product_10,charging interface,usb type c
category_2_product_10,country of origin,vietnam
category_2_product_10,marketed by,imagine marketing limited
category_2_product_10,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_10,net content,1 unit pair of earbuds 1 unit case 1 unit type c cable 1 unit user guide 2 e tra earmuffs
category_2_product_10,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_13,name,boat nirvana ivy
category_2_product_13,headphone type,anc tws earbuds
category_2_product_13,category,wireless earbuds
category_2_product_13,ip rating,ip 5
category_2_product_13,driver size,11 mm2
category_2_product_13,ma imum retail priceinclusive of all ta es,17990
category_2_product_13,music playtime,up to 50 h
category_2_product_13,frequency,20 hz20 khz
category_2_product_13,battery capacity,400 mah case 40 mah2 earbuds
category_2_product_13,latency with beast mode,60 ms
category_2_product_13,charging time,15 hours case 35 minsearbuds
category_2_product_13,transmission range,10 m
category_2_product_13,bluetooth version,v 53
category_2_product_13,net quantity,1 unit
category_2_product_13,charging interface,usb type c
category_2_product_13,country of origin,vietnam
category_2_product_13,imported marketed by,imagine marketing limited
category_2_product_13,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_13,net content,1 unit pair of earbuds 1 unit case 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit catalogue 1 unit faq card
category_2_product_13,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_14,name,boat airdopes 170
category_2_product_14,headphone type,tws earbuds
category_2_product_14,category,wireless earbuds
category_2_product_14,ip rating,ip 4
category_2_product_14,driver size,13 mm2
category_2_product_14,music playtime,up to 50 h
category_2_product_14,frequency,20 hz20 khz
category_2_product_14,battery capacity,470 mah case 40 mah2 earbuds
category_2_product_14,latency with beast mode,50 ms
category_2_product_14,iwp tech,yes
category_2_product_14,charging time,40 min earbud 120 mincase
category_2_product_14,transmission range,10 m
category_2_product_14,bluetooth version,v 53
category_2_product_14,net quantity,1 unit
category_2_product_14,charging interface,type c
category_2_product_14,country of origin,india
category_2_product_14,imported marketed by,imagine marketing limited
category_2_product_14,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_14,net content,1 unit pair of earbuds 1 unit case 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit catalogue 1 unit faq card
category_2_product_14,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_15,brand,boat
category_2_product_15,category generic name of commodity,wireless bluetooth earbuds
category_2_product_15,product description name,airdopes 131 pro
category_2_product_15,ip rating,ip 5
category_2_product_15,ma imum retail price,2990
category_2_product_15,warranty,1 year from the date of purchase
category_2_product_15,net content,airdopes 131 pro 1 unit typec 1 unit user manual 1 unit warranty card
category_2_product_15,working time,9 hours per charge up to 36 hrs additional with case
category_2_product_15,driver size,11 mm
category_2_product_15,beast mode,yes
category_2_product_15,bluetooth version,53
category_2_product_15,net quantity,1 unit
category_2_product_15,country of origin,china
category_2_product_15,marketed by,imagine marketing limited
category_2_product_15,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_2_product_15,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
