product_id,author,rating,title,body
category_2_product_1,gaurav dadhich,5,good product good service,good service good product nice design nice colour
category_2_product_1,ayush vihan,5,5 star,very good and beautiful product
category_2_product_1,rudraksh mishra,5,satisfactory,satisfied
category_2_product_1,rudraksh mishra,5,satisfied,satisfied
category_2_product_1,akash m,5,best airdopes 161,airdopes 161 is the best airdopes i have been using it for 6 months there is no problem of any read more
category_2_product_1,pulkit shrimali,5,very good product,this a very good product i bought this in june and after a month of use i can say that it is very read more
category_2_product_2,ajay darekar,5,amazing 55,amazing product if i required another earphone to buy another one buy will buy it again this one
category_2_product_2,mohit,5,great quality product,very satisfied
category_2_product_2,honey,5,flying in the air,omg its just amazing i cant get enough of listening to music im in love with the read more
category_2_product_2,ramess,5,great buds,nice buds classy and anc is good too
category_2_product_2,shantanu sikder,5,premium quality product,sound in next level noice cancellation is not so bad you can get enough batterymy rating 100010 read more
category_2_product_2,palash,5,good product,very good
category_2_product_3,yashraika79gmailcom,5,vey nyc,good
category_2_product_3,rojash delhi,5,company good and quality wise,product are nice and delevery good pr show 4 day me resive hua 110039 pin code pr voice read more
category_2_product_3,pikachu,5,super,im using this product on past 4 year i am a fan of airdopes 141 read more
category_2_product_3,hardeep,3,is it noise cancellation,this earbuds with noise cancellation or not
category_2_product_3,hardeep,3,is it noise cancellation,this earbuds with noise cancellation or not
category_2_product_3,raghu,5,good product,super very nice boss
category_2_product_4,kshivesh,5,my boat airpods 148 thank you boat,i have been using these airpods continuously for 2 years i bought it from a local shop read more
category_2_product_4,anushka vani,5,good product,i bought boat airdopes 148 from a local shop and recently got a warranty read more
category_2_product_4,sinchan,5,awesome product,i have been using it on a daily purpose since last 3 years not even a single complain about the read more
category_2_product_4,nabanita guchhait,5,good product,goon sound quality
category_2_product_4,aadesh yadav,5,boat airdopes 148 wireless earbuds with 8mm drivers iwp enxtm technology asap fast charge,boat airdopes 148 wireless earbuds with 8mm drivers iwp enxtm technology asap read more
category_2_product_4,jamil aktar,5,good product,boat airdopes 148 wireless earbuds with 8mm drivers iwp enxtm technology asap read more
category_2_product_5,hukmraj singh rao,5,cover,product is amazing but i did not got the silicon cover with it
category_2_product_5,ushna,4,cover,i didnt get the silicon cover like i ordered
category_2_product_5,sheeba,4,airpods 131 viper green,nice product
category_2_product_5,ras bihari,5,good product,boat airdopes 131 wireless earbuds with upto 60 hours playback 13mm drivers iwp read more
category_2_product_5,uday,5,good quality with amazing experience,hey boat just got my airdopes 131 and im absolutely loving it made a fun review check it read more
category_2_product_6,rashid sheikh,5,best sound quality best performance,this is best earbuds ever for me i am using this earbuds past 8 month sound quality is too good read more
category_2_product_6,kavya,5,good product,boat airdopes 163 wireless earbuds with massive playback of upto 17 hour ipx5 water read more
category_2_product_6,anonymous,5,amazing product,i originally come form canada after taking a summer trip to india i was looking for some cheap read more
category_2_product_6,hemant kumar,5,very good product,saund
category_2_product_6,johaan g,5,best earphones,keeping the price under consideration these are the only earphones that will provide you such a read more
category_2_product_6,kavita,5,good review,good quality nice sound i love this product totally convenced thanks boat
category_2_product_7,atin bakshi,5,power bank no1 in india,fatafati power bank amar one din dhora ekta power bank kina e6a 6lo atodin e puro holokono read more
category_2_product_7,soumen manna,5,this is the best powerful and best performance power bank,the power bank is the most powerful and better performance power bank
category_2_product_7,sandeep kushwaha,5,bahut hi achha hai,thank you boat bahut achha hai
category_2_product_7,john smith,5,good product,good product within budget
category_2_product_7,koutuka majhi,5,best powerbank under 2k,fast delivery item received in good condition best powerbank under 2k
category_2_product_7,amit kumar,5,better,this power bank so much fast charging good design is very good but data cable read more
category_2_product_8,pawan kumar,5,910,i love the product
category_2_product_8,thendral,4,good product,boat airdopes 138 wireless earbuds with 13mm drivers bluetooth v50edr iwp read more
category_2_product_8,ram pravesh yadav,5,nice one,if you think about simple and long lasting bluetooth headset than buy this
category_2_product_8,bhushan bhuva,5,amazing tws,very good
category_2_product_8,niraj shukla,5,excellent,as per expectations excellent setrvices
category_2_product_8,harshvardhan ashtekar,5,worth buying,very good earbudsgood sound quality worth buying
category_2_product_9,anonymous,5,best so far,i have been using this for at least 4 years and its still the same the bass and sound are still read more
category_2_product_9,rohan,5,boat nirvana ion,sound quality is really nice and im having a wonderful experience with it tqsm for this read more
category_2_product_9,jay,5,good product,boat nirvana ion bluetooth wireless earbuds with crystal bionic sound powered by hifi read more
category_2_product_9,nikhil,5,realistic sound,the boat nirvana ion airbuds deliver impressive sound quality deep bass and excellent noise read more
category_2_product_9,naveen rawat,5,good product,boat nirvana ion bluetooth wireless earbuds with crystal bionic sound powered by hifi read more
category_2_product_9,naveen rawat,5,good product,boat nirvana ion bluetooth wireless earbuds with crystal bionic sound powered by hifi read more
category_2_product_10,shivanshu singh,3,overall good but can be improved by firmware upgrade,overall good sounding budsthe sound quality needs little improvement specifically the read more
